entityid;cent_codigo;esce_codigo;plfi_codigo;iddistritoed;cent_nombre;cent_multigrado;cent_referencia
b953f620-119c-4ad9-aa3d-a9b3cc427d26;26011622;1;7776;54;BABOSO;False;4248
a844842c-2c8b-4d82-b2bb-3a1d9cbd73ca;26011916;1;5934;54;FRANCISCO ANTONIO RODRIGUEZ - EL RINCON;False;4249
1ed478c7-d80d-4a15-bf30-7c0bfc222628;26012213;1;6083;54;SAN JOSE;True;4250
7a98c576-4fa2-469c-8d1f-54550a22a764;26012411;1;2556;54;PEDRO MARIA SANTANA PERALTA - ZAMBA;True;4251
b109ec76-015d-4d4f-a625-0f04cffe35d0;26012619;1;6314;54;ISIDRO CONTRERAS DILONE - LOS CAJUILES;True;4252
303d380c-9786-41ef-8a6f-abccf71c1576;26012713;1;7231;54;CLARA LUZ LORA PROF. - LOS TOMINES;False;4253
e03dd9fe-497d-48bd-b86d-94c0b16930ce;26013010;1;2245;54;CAIMITO;False;4254
575b7a2a-8c67-4cbb-aabd-9aaca8ef7022;26014619;1;7287;54;VALLECITO;EL;True
f2e2ef92-1c23-4df9-a558-f9c633dd940f;26015325;1;1777;54;CARLOS GONZALEZ NU�EZ;False;4268
42b2e8ba-706c-43d7-a7db-36bfb373d807;26015510;1;4083;54;PEDRO HENRIQUEZ URE�A;False;8939
048d012b-5dcd-4ebe-bed2-e472867317ba;26015529;1;4083;54;JOSE FRANCISCO PE�A GOMEZ;DR.;False
99e5e331-5bc4-43a6-ac87-4a86ff930e68;26015812;1;5824;54;INAJE;True;4269
b6e0df93-4b5c-4ff0-95b7-82849db84a4f;26015916;1;3791;54;FAUSTA MERCEDES TEJADA (LANA;LA);False
dacc1cd8-537b-4534-94bd-cc4ea2693a7a;26019219;1;1429;54;JOSE EUGENIO MARMOL CASTELLANOS - BOCA DE AMINILLA;True;8945
adb9dd27-bc01-408c-9a11-06a1f7644a14;26020811;14;2033;54;COQUI CENTRO CERRADO;False;4282
ecbf4bd7-9f7e-4712-b1fb-b45dff9056f1;26020910;1;4658;54;PIONIA;LA;True
0b7a835f-2e2f-4b57-b409-4485aa3e1a54;26021413;1;4970;54;SANTA ANA;True;8946
dca7bbf7-d269-444c-96c1-91e304ee1167;26021514;1;3656;54;TV - CENTRO LA GINITA;False;8947
52c027e2-a218-479a-b389-db4fbeb7a699;26021613;1;3546;54;DARIO GOMEZ;DR.;False
47d6c728-da88-4552-946b-77cd2a9795d9;;8;9750;54;COLEGIO DESTELLO DE LUZ;False;11240
d3aff24b-0dfe-4970-b38a-7aa809f803e1;;8;10001;54;DESTELLO DE LUZ;False;11400
7742ed2a-9e21-4c78-88cc-4b5254488710;26003816;1;3335;55;CLAVIJO ABAJO;True;4205
a3e267e7-ba0f-435a-96ad-b1ac9009ba30;26003910;14;5522;55;LUIS GOMEZ;False;4206
961b9198-f69f-402b-b391-d95f2db6af63;26004519;1;5907;55;CLAVIJO ARRIBA;False;8934
79ea7369-a1e2-491a-9099-78f4070e637b;26004530;14;5907;55;CLAVIJO ARRIBA;False;4208
dcbb783c-1ce5-4d68-846d-5457256ab78a;26013312;1;2973;55;LEONOR;LA;True
bf55aea9-f20d-4b29-aab7-d2e350f291c2;26013416;1;6587;55;AGUACATE;EL;True
529d39fe-49f7-4f2f-b513-852b14be9a3d;26013432;1;6587;55;TV - CENTRO EL AGUACATE;False;8938
9037c4ce-dfe5-401d-a203-c95913c6833a;26013510;14;7593;55;ARROYO MONTAZO;True;4257
e700a2e6-90b4-4fe4-989b-a8d82f943a52;26013812;1;4453;55;CABIRMA;LA;True
1dd8ccb5-e5a7-4a0d-821c-9d9dd08f27ab;26013916;1;697;55;CENOVI;True;4259
f14a89ce-c6d4-4038-91fb-ff05154071e5;26014119;1;8496;55;CIDRA;LA;True
a43d761a-2f9a-4f54-aee3-a43204d3626f;26014213;14;4631;55;CIDRITA;LA;True
b7161975-eb5a-4b6d-b49f-643c73fcc297;26014317;14;2864;55;LOMA DE CANA;True;4262
0bbecdda-4b58-4deb-bf3a-1d955d441716;26014411;1;5004;55;LOMA DE COPEY;False;4263
b8f8b929-8a6f-4afa-8a0b-a7d7c52b219d;26014520;1;372;55;MONTAZO;EL;False
0f85ee3e-3e1b-415a-adbe-323f74b999b5;26014911;1;7621;55;LAGUNA DE CENOVI;False;4266
a81a06b4-2b03-4532-abef-76cdd779870f;26015010;14;4763;55;YERBA BUENA;True;4267
442ce8e3-642b-46b9-8271-12c6fde82393;26016119;1;2360;55;JUAN PABLO DUARTE;False;8941
6eded96d-f473-4db6-8552-f2f061ce7d25;26016122;1;2360;55;TRINITARIA;LA;False
a4696370-2777-4edb-8a50-469d31d033f9;26016131;1;2360;55;BIENVENIDO GUZMAN;False;4271
590888eb-5afd-4cb0-96aa-f0d9370bf925;26016140;1;2360;55;SALOME URE�A (JUAN PABLO DUARTE);False;8943
1d3f519c-0b67-442d-907c-ad82f6e04dee;26016226;1;8152;55;TRINITARIA;LA;False
ac015c53-55a5-4ffb-b86e-b625ad9bafca;26016239;1;7560;55;ANASTACIO VALLE;False;4272
f0caba3e-52b6-4a01-b5f6-f1e4790fceb9;26016515;1;1924;55;MAMONCITO;True;4274
d7f50380-69d7-43e8-a8cd-06ce3ddcd9ba;26016713;1;4016;55;VELADERO;True;4275
01b88268-8108-4512-a8a7-abf08114ac17;26016817;1;2266;55;HATO VIEJO;True;10514
97db11f2-9942-458e-9c8e-96175ed51712;26017010;1;3988;55;GURABO;False;4276
fa3cec69-6eeb-4ae6-93b8-b5d69728ba18;26017218;1;8655;55;JUAN VELEZ - DURAN;True;4277
8e74deef-fa67-4408-94a5-e793d5dd2dc0;26017510;1;8604;55;CA�ADA GRANDE;False;4278
d64f9706-34c3-4a95-99e6-d4f7e8b31c5e;26017718;1;6088;55;LOMA DEL DAJAO;False;4279
7c2bf5d0-0f88-49bb-8de6-fd95858b468e;26017812;1;7297;55;MESETAS;LAS;False
