entityid,codigo,nombreplantafisica,regional,distrito,provincia,municipio,distritomunicipal,seccionmunicipal,barrios,direccion,latitud,longitud,cantidadcentros,matriculamatutina,matriculavespertina,matriculanocturna,matriculacompleta,matriculasemipre
7983a545-c612-4949-89a6-a5971d27e097,16000812,BARRIO LAS MERCEDES,01-BARAHONA,0101-PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES (ZONA URBANA),LAS MERCEDES O CUARENTA,AL FINAL BARRIO LAS MERCEDES,18.040642918559399,-71.748315132610287,1,319,323,,,
f033bff2-f1b3-4c84-bdd6-d699fb708ed5,23006911,BARRIO LINDO,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,SAN PEDRO DE MACOR�S,SAN PEDRO DE MACOR�S,SAN PEDRO DE MACOR�S (ZONA URBANA),LINDO,LAS ARTE BARRIO LINDO,18.472643702509163,-69.293273985385895,2,595,598,164,,
21adc975-0051-4ace-99bd-4afe47c11c89,24027915,BARRIO LINDO,16-COTUI,1602-FANTINO,SANCHEZ RAMIREZ,LA MATA,ANGELINA (D. M.),EL LIMONCITO,EL REMOLINO,BARRIO L BARRIO LINDO,19.133778112407768,-70.236555933952332,1,119,122,,,
7915c9fc-f141-44d6-9ab8-e1bdfa4077fb,30012714,BARRIO LINDO,05-SAN PEDRO DE MACORIS,0509-EL VALLE,HATO MAYOR,EL VALLE,EL VALLE,EL VALLE (ZONA URBANA),EL LICEO,HERMANAS BARRIO LINDO,18.971274540846569,-69.376138150691986,1,24,29,,,
00fec531-db05-4360-82d8-190777c34b28,4018417,BARRIO NUEVO,01-BARAHONA,0102-ENRIQUILLO,BARAHONA,PARA�SO,LOS PATOS (D. M.),OJEDA,BARRIO NUEVO,BARRIO N BARRIO NUEVO,17.955390260024025,-71.187366843223572,1,11,4,,,
f7018001-8641-4408-bdeb-44b0807b92d4,30012516,BARRIO NUEVO,05-SAN PEDRO DE MACORIS,0509-EL VALLE,HATO MAYOR,EL VALLE,EL VALLE,EL VALLE (ZONA URBANA),VISTA BELLA,RESTAURA BARRIO NUEVO,18.980091236984752,-69.383822679519653,1,93,58,,,
601e4bd0-0439-4ae9-a159-ff6c87a87682,15027014,BARRIO NUEVO KM. 11,13-MONTE CRISTI,1301-MONTE CRISTI,MONTE CRISTI,MONTE CRISTI,MONTE CRISTI,EL RINC�N,LAGUNA VERDE,KM. 11   BARRIO NUEVO KM. 11,19.805223999999999,-71.561909999999997,1,19,33,,,
7d1a032e-c891-450a-8bc5-f53154255e6a,15027113,BARRIO NUEVO VILLA GARCIA,13-MONTE CRISTI,1303-VILLA VASQUEZ,MONTE CRISTI,VILLA V�ZQUEZ,VILLA V�ZQUEZ,VILLA GARC�A,VILLA GARC�A,VILLA GA BARRIO NUEVO VILLA GARCIA,19.7763152877816,-71.51213675737381,1,46,26,,,
007716d2-1413-4f31-880b-98c219675b72,2006613,BARRIO QUISQUEYA,03-AZUA,0301-AZUA,AZUA,AZUA,AZUA,AZUA DE COMPOSTELA (ZONA URBANA),LA FRONTERA,LUPERON  BARRIO QUISQUEYA,18.450654429645102,-70.723899900913239,2,170,94,23,,
fe19b127-476e-461a-9542-e781e759a004,17029911,BARRIO SAN LUIS,03-AZUA,0303-SAN JOSE DE OCOA,SAN JOSE DE OCOA,SAN JOS� DE OCOA,SAN JOS� DE OCOA,SAN JOS� DE OCOA (ZONA URBANA),SAN LUIS,SAN LUIS BARRIO SAN LUIS,18.544842702930207,-70.500986874103546,1,145,154,,,
