entityid,codigo,nombreplantafisica,regional,distrito,provincia,municipio,distritomunicipal,seccionmunicipal,barrios,direccion,latitud,longitud,cantidadcentros,matriculamatutina,matriculavespertina,matriculanocturna,matriculacompleta,matriculasemipre
85816cb2-607d-40a9-8288-ca4fa72ea608,3007512,13 DE MARZO - EL RODEO,18-BAHORUCO,1801-NEYBA,BAORUCO,GALV�N,GALV�N,EL RODEO (MAJAGUAL),MAJAGUAL,PRINCIPA 13 DE MARZO - EL RODEO,18.505361614672761,-71.299794316291809,1,50,41,,,
4eaf7281-2ff5-4184-b455-b9fc72ef61e4,2026011,19 DE MARZO,03-AZUA,0301-AZUA,AZUA,PERALTA,PERALTA,PERALTA (ZONA URBANA),CENTRO DEL PUEBLO,ENRIQUIL 19 DE MARZO,18.5798010132123,-70.767054169311507,2,325,364,108,,
aa49fadb-9ce1-468b-bf7a-34071fc55379,1271613,24 DE ABRIL,15-SANTO DOMINGO,1502-SANTO DOMINGO CENTRO,DISTRITO NACIONAL,SANTO DOMINGO DE GUZM�N,SANTO DOMINGO DE GUZM�N,SANTO DOMINGO DE GUZM�N (ZONA URBANA),24 DE ABRIL,BARRIO 2 24 DE ABRIL,18.506724937359557,-69.893681108951569,2,428,513,273,,
60f0c3e3-909d-4159-b014-fbdda4149b82,23028817,24 DE ABRIL,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,SAN PEDRO DE MACOR�S,SAN PEDRO DE MACOR�S,BOCA DEL SOCO,LA PUERTA DE SANTA FE,BARRIO L 24 DE ABRIL,18.475078301191289,-69.283304214477539,1,421,399,,,
697fe4c4-2432-46d2-8fa1-bb99b0908ede,32005911,24 DE ABRIL,10-SANTO DOMINGO,1006-MENDOZA,SANTO DOMINGO,SANTO DOMINGO ESTE,SANTO DOMINGO ESTE,SANTO DOMINGO ESTE (ZONA URBANA),LAS CANAS,CALLE    24 DE ABRIL,18.477951999999998,-69.819114999999996,1,265,182,,,
3dba542f-aff4-44b3-ba92-7f9815ba3f73,21051515,27 DE FEBRERO,04-SAN CRISTOBAL,0403-SAN CRISTOBAL SUR,SAN CRISTOBAL,SAN CRIST�BAL,SAN CRIST�BAL,NAJAYO ARRIBA,CANASTA,SECTOR 2 27 DE FEBRERO,18.399865999999999,-70.138755000000003,1,10,36,,,
5dcb2404-6db5-4712-a4d6-0486b6c7961b,25101515,27 DE FEBRERO,08-SANTIAGO,0807-VILLA BISONO (NAVARRETE),SANTIAGO,BISON�,BISON�,BISON� (ZONA URBANA),27 DE FEBRERO,27 DE FEBRERO,19.559888706073895,-70.889191031455994,1,201,227,,,
22ab7873-4a6a-4a3e-9381-7bf4fc2ba601,29005914,27 DE FEBRERO,17-MONTE PLATA,1703-BAYAGUANA,MONTE PLATA,BAYAGUANA,BAYAGUANA,BAYAGUANA (ZONA URBANA),SANTO CRISTO,DUARTE # 27 DE FEBRERO,18.752847114076271,-69.636881053447723,2,354,296,226,,
cb1533ca-9041-41a3-938e-255ccad5d2ca,9016219,30 DE MARZO,06-LA VEGA,0607-GASPAR HERNANDEZ,ESPAILLAT,GASPAR HERN�NDEZ,GASPAR HERN�NDEZ,BEJUCO BLANCO,BEJUCO BLANCO,BEJUCO B 30 DE MARZO,19.588329829280919,-70.248400568962097,2,133,90,162,,
ae5ad539-1f28-401f-8cd1-dc334ff5a062,6044213,ABEL ARANDA OLIVIER,07-SAN FRANCISCO DE MACORIS,0705-SAN FRANCISCO DE MACORIS SUR-E,DUARTE,SAN FRANCISCO DE MACOR�S,SAN FRANCISCO DE MACOR�S,SAN FRANCISCO DE MACOR�S (ZONA URBANA),LOS RIELES,LOS RIEL ABEL ARANDA OLIVIER,19.283501766649319,-70.261465609073639,2,236,249,42,,
a51ebe72-0738-4504-a498-9f0e185c4de6,21026417,ABEL URIBE,04-SAN CRISTOBAL,0403-SAN CRISTOBAL SUR,SAN CRISTOBAL,SABANA GRANDE DE PALENQUE,SABANA GRANDE DE PALENQUE,JUAN BAR�N,JUAN BAR�N,30 DE MA ABEL URIBE,18.249190869531617,-70.17591655254364,1,143,193,,,
9d502e29-08ac-4dfa-8a16-d97c57883f70,30021530,ABIGAIL MEJIA,05-SAN PEDRO DE MACORIS,0505-SABANA DE LA MAR,HATO MAYOR,SABANA DE LA MAR,SABANA DE LA MAR,SABANA DE LA MAR (ZONA URBANA),SAN CARLOS,,19.059917375881565,-69.389085173606873,3,465,729,179,,
2c941508-ec66-406c-8d40-238236bb4d44,25036113,ABRAHAM ALONZO GARCIA - LAGUNA PRIETA ABAJO,08-SANTIAGO,0803-SANTIAGO SUR-ESTE,SANTIAGO,PU�AL,PU�AL,MATANZAS,MATANZAS ADENTRO,LAGUNA P ABRAHAM ALONZO GARCIA - LAGUNA PRIETA ABAJO,19.397948888363405,-70.663960576057434,1,282,246,,,
1cca029d-b458-4288-9046-f86f4d8cab0d,24024018,ABRAHAN CANAAN - CAMU PINA VIEJA,16-COTUI,1602-FANTINO,SANCHEZ RAMIREZ,FANTINO,FANTINO,SIERRA PRIETA,SIERRA PRIETA,PROYECTO ABRAHAN CANAAN - CAMU PI�A VIEJA,19.140054791941161,-70.328976809978485,1,56,53,,,
a85e64f0-394d-4f93-9232-63b5c66fc907,2018713,ABRAHAN MATEO - MAGUEYAL CORTES,03-AZUA,0302-PADRE DE LAS CASAS,AZUA,LAS YAYAS DE VIAJAMA,HATO NUEVO CORT�S (D.M.),MAGUEYAL,MAGUEYAL,MAGUEYAL  ABRAHAN MATEO - MAGUEYAL CORTES,18.594488836044299,-70.996600091457395,1,149,153,,,
8b4cac46-0674-44ed-bcae-606e2a922252,4003614,ACADEMIA FRANCISCANA,01-BARAHONA,0103-BARAHONA,BARAHONA,BARAHONA,VILLA CENTRAL (D. M.),VILLA CENTRAL (ZONA URBANA),BATEY CENTRAL,C/ 1RA.  ACADEMIA FRANCISCANA,18.217746660271072,-71.091333031654358,3,591,,358,,
29802c01-bba5-45e8-a558-d823bc4aac27,25033014,ACIBA,08-SANTIAGO,0805-SANTIAGO CENTRO-OESTE,SANTIAGO,SANTIAGO,HATO DEL YAQUE (D. M.),GUAYACANAL,FINCA DE ACIBA,FINCA AC ACIBA,19.422163788240407,-70.797687470912933,1,45,49,,,
b8519faf-906b-422b-8150-ecf319f32eeb,2021110,ACTIVO 20-30,03-AZUA,0302-PADRE DE LAS CASAS,AZUA,PADRE LAS CASAS,PADRE LAS CASAS,PADRE LAS CASAS (ZONA URBANA),LOS MAGINO,MATEO AD ACTIVO 20-30,18.730479962775764,-70.937165021896362,1,,2,,377,
440dccd6-23be-4525-9fa2-fe195b438293,21016619,ACTIVO 20-30,04-SAN CRISTOBAL,0406-HAINA,SAN CRISTOBAL,BAJOS DE HAINA,BAJOS DE HAINA,BAJOS DE HAINA (ZONA URBANA),PIEDRA BLANCA,CARRET.  ACTIVO 20-30,18.426514634394092,-70.025753080844879,2,262,271,601,,
3b0d3e1c-4b42-4e20-8d2d-0daa9a086a59,15023811,ACTIVO 20-30 DE BOTONCILLO,13-MONTE CRISTI,1303-VILLA VASQUEZ,MONTE CRISTI,VILLA V�ZQUEZ,VILLA V�ZQUEZ,BOTONCILLO,BOTONCILLO,BOTONCIL ACTIVO 20-30 DE BOTONCILLO,19.734196548624418,-71.421789228916168,1,35,29,,,
bf56c38c-2cf6-441c-8b1f-b5fa4d2e22dc,14022714,ADELA  BALBUENA  SANCHEZ - ARROYO GRANDE,14-NAGUA,1403-RIO SAN JUAN,MARIA TRINIDAD SANCHEZ,R�O SAN JUAN,R�O SAN JUAN,MATA PUERCO,ARROYO GRANDE,ARROYO G ADELA  BALBUENA  SANCHEZ - ARROYO GRANDE,19.629334932660079,-70.065940618515015,1,18,49,,,
87b3c309-cd9b-433c-b794-7dc4b778a6b4,2025016,ADELA ROMERO DE CESPEDES PROF. - VILLARPANDO,03-AZUA,0302-PADRE DE LAS CASAS,AZUA,LAS YAYAS DE VIAJAMA,VILLARPANDO (D.M.),VILLARPANDO (ZONA URBANA),VILLARPANDO,VILLARPA ADELA ROMERO DE CESPEDES PROF. - VILLARPANDO,18.654596048765477,-71.039298176765442,1,354,298,,,
6e68970d-5f8a-4e7c-a255-2a36a77d7274,6041114,ADELAYDA MOLINA I.,07-SAN FRANCISCO DE MACORIS,0704-VILLA RIVA,DUARTE,VILLA RIVA,LAS TARANAS (D. M.),EL ABANICO,SAN RAFAEL,BOMBILLO ADELAYDA MOLINA I.,19.191779523680797,-69.958174824714661,2,74,71,30,,
b4e3658f-75e5-488c-bb79-256f28d91664,11013917,ADELAYDA MOTA,12-HIGUEY,1202-SAN RAFAEL DEL YUMA,LA ALTAGRACIA,SAN RAFAEL DEL YUMA,SAN RAFAEL DEL YUMA,BOCA DE YUMA,LOS NEGROS,CAMINO V ADELAYDA MOTA,18.409155999999999,-68.649536999999995,1,17,10,,,
2d632725-73fd-4c88-97ca-bdaf467f0029,3007918,ADELCIDA PE�A MENDEZ - EL SALADO,18-BAHORUCO,1801-NEYBA,BAORUCO,GALV�N,EL SALADO (D. M.),TAMARINDO,MORUNO,PRINCIPA ADELCIDA PE�A MENDEZ - EL SALADO,18.486153000000002,-71.327893000000003,2,168,69,32,,
59100137-40b2-4bb0-8f34-1c30a7aab8bb,20008313,ADOLFO  ALEJANDRO MALOON - ALTAMIRA,14-NAGUA,1405-SANCHEZ,SAMANA,S�NCHEZ,S�NCHEZ,S�NCHEZ (ZONA URBANA),PUEBLO ARRIBA,HERNANDE ADOLFO  ALEJANDRO MALOON - ALTAMIRA,19.226522954234049,-69.611147940158844,1,141,111,,,
5d74ad8c-cf7f-4bc1-bfd6-a3b5f466a299,2018119,ADOLFO FELIZ ALCANTARA PROF- HATO NUEVO CORTES,03-AZUA,0302-PADRE DE LAS CASAS,AZUA,LAS YAYAS DE VIAJAMA,HATO NUEVO CORT�S (D.M.),HATO NUEVO CORT�S (ZONA URBANA),HATO NUEVO CORT�S,HATO NUE ADOLFO FELIZ ALCANTARA PROF- HATO NUEVO CORTES,18.570201513879926,-70.977679789066315,3,201,239,,,
77c86e04-fe21-4629-8b50-364a1073bd45,29040619,ADONAI,17-MONTE PLATA,1703-BAYAGUANA,MONTE PLATA,BAYAGUANA,BAYAGUANA,BAYAGUANA (ZONA URBANA),CENTRO DEL PUEBLO,PROYECTO ADONAI,18.75168,-69.637580999999997,1,201,495,,,
ed9e84f7-8c97-419f-931e-6599d6c9b620,3005512,ADRIANA HERASME DE MENDEZ - PLAZA CACIQUE,18-BAHORUCO,1801-NEYBA,BAORUCO,NEIBA,NEIBA,EL MANGUITO,PLAZA CACIQUE,PLAZA CA ADRIANA HERASME DE MENDEZ - PLAZA CACIQUE,18.510880969735563,-71.437917351722717,2,49,73,29,,
062e7966-64c7-4259-947c-411d6eff35cd,22014315,ADRIANA MARIA GUILLU VIUDA SUAZO,02-SAN JUAN DE LA MAGUANA,0206-SAN JUAN OESTE,SAN JUAN,SAN JUAN,PEDRO CORTO (D. M.),PEDRO CORTO,PEDRO S�NCHEZ,PEDRO CO ADRIANA MARIA GUILLU VIUDA SUAZO,18.847550757627086,-71.406232416629791,2,612,360,,,
56e2838b-4d7c-4caf-aed0-bc1f22936eca,25071112,ADRIANO VALDEZ - QUINIGUA,08-SANTIAGO,0807-VILLA BISONO (NAVARRETE),SANTIAGO,VILLA GONZ�LEZ,VILLA GONZ�LEZ,QUINIGUA,QUINIGUA,QUINIGUA ADRIANO VALDEZ - QUINIGUA,19.501790461068612,-70.776948630809784,1,177,126,,,
8228d207-6271-4493-9bb7-2c2f12821b9d,5014717,AGUA BLANCA,13-MONTE CRISTI,1306-RESTAURACION,DAJABON,RESTAURACI�N,RESTAURACI�N,LA POCILGA,VALLE NUEVO,AGUA BLA AGUA BLANCA,19.345670053620278,-71.716798235096007,1,19,19,,,
9a6bab6e-72ef-4862-90c2-1cc887577a31,8004819,AGUA BLANCA,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,EL SEIBO,CAMPI�A,BATEY AGUA BLANCA,BATEY AG AGUA BLANCA,18.693323528238853,-69.014230370521545,1,42,53,,,
7a24316a-d825-4f38-aa05-834a758d7896,29007716,AGUA BUENA,17-MONTE PLATA,1702-MONTE PLATA,MONTE PLATA,BAYAGUANA,BAYAGUANA,COJOBAL,AGUA BUENA,AGUA BUE AGUA BUENA,18.774345334693798,-69.714182317256927,1,20,,,,
25e3d87f-c819-4049-ba0c-79ef2e42d709,9005614,AGUACATE ABAJO,06-LA VEGA,0606-MOCA,ESPAILLAT,MOCA,LAS LAGUNAS (D. M.),EL AGUACATE ARRIBA,EL AGUACATE ABAJO,AGUACATE AGUACATE ABAJO,19.402371184724821,-70.467971563339233,1,27,29,,,
4344564c-aa73-4308-882d-713ffe97229b,8006913,AGUA CLARA,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,EL SEIBO,MAGAR�N,AGUA CLARA,AGUA CLA AGUA CLARA,18.837125254124604,-69.157878756523132,1,12,9,,,
cc151ef6-bfad-4815-863d-a15b6e547404,15014414,AGUA DE LA PALMA,13-MONTE CRISTI,1302-GUAYUBIN,MONTE CRISTI,GUAYUB�N,VILLA ELISA (D. M.),EL PAPAYO,AGUA DE LAS PALMAS,AGUA DE  AGUA DE LA PALMA,19.771686300229824,-71.245913624328637,1,25,12,,,
8be92bf6-ae44-4adc-8223-9471afaa1e3a,15014216,AGUA DE LUIS,13-MONTE CRISTI,1302-GUAYUBIN,MONTE CRISTI,GUAYUB�N,HATILLO PALMA (D. M.),LOS DERRAMADEROS,AGUA DE LUIS,AGUA DE  AGUA DE LUIS,19.758519353228099,-71.213586627964006,1,47,55,,,
bc51fa0b-49ff-4960-b4e3-fe0737d89ae3,19005415,AGUA FRIA,07-SAN FRANCISCO DE MACORIS,0702-SALCEDO,HERMANAS MIRABAL,SALCEDO,SALCEDO,JAYABO AFUERA,AGUA FR�A,AGUA FRI AGUA FRIA,19.371842748405456,-70.382250845432281,1,62,51,,,
cfa6e090-4860-4a81-b660-a1c588d3f966,18044814,AGUA LARGA,11-PUERTO PLATA,1106-EL MAMEY,PUERTO PLATA,GUANANICO,GUANANICO,LA ALTAGRACIA,AGUA LARGA,AGUA LAR AGUA LARGA,19.719747147621895,-70.913698375225067,1,20,6,,,
60a4509c-b1c2-44ed-a77f-f1e2cd1af8a4,6039212,AGUA SANTA DEL YUNA,07-SAN FRANCISCO DE MACORIS,0704-VILLA RIVA,DUARTE,VILLA RIVA,AGUA SANTA DEL YUNA  (D. M.),AGUA SANTA DEL YUNA (ZONA URBANA),LA REFORMA,LAUREL   AGUA SANTA DEL YUNA,19.154794041253936,-69.792567193508148,1,27,24,,,
710dd40b-408c-46f4-8fb3-d0ec08616fe3,6039910,AGUA SANTA DEL YUNA # 1,07-SAN FRANCISCO DE MACORIS,0704-VILLA RIVA,DUARTE,VILLA RIVA,AGUA SANTA DEL YUNA  (D. M.),CALLEJ�N DE TILO,CALLEJ�N DE TILO,AGUA SAN AGUA SANTA DEL YUNA # 1,19.148011160179085,-69.736538529396057,1,10,16,,,
2ff79804-a0d0-4798-b09d-9ffe663adaf1,6040015,AGUA SANTA DEL YUNA # 2,07-SAN FRANCISCO DE MACORIS,0704-VILLA RIVA,DUARTE,VILLA RIVA,AGUA SANTA DEL YUNA  (D. M.),CALLEJ�N DE TILO,BOROJOL,AGUA SAN AGUA SANTA DEL YUNA # 2,19.15046387405452,-69.769645035266876,1,27,29,,,
2843c546-3462-4836-b30d-cf4084c7a9c2,16002010,AGUAS NEGRAS,01-BARAHONA,0101-PEDERNALES,PEDERNALES,PEDERNALES,JOS� FRANCISCO PE�A G�MEZ (D. M.),AGUAS NEGRAS,AGUAS NEGRAS,AGUAS NE AGUAS NEGRAS,18.164945917750401,-71.701291341278079,1,96,83,,,
a089f331-92f6-48d6-9527-8c1903b51ea5,4028017,AGUITA BLANCA,01-BARAHONA,0103-BARAHONA,BARAHONA,LA CI�NAGA,LA CI�NAGA,GUAYUYAL,AG�ITA BLANCA,AGUITA B AGUITA BLANCA,18.081095000000001,-71.170935,1,35,21,,,
89cd5134-956e-4e18-a021-5b4c07f58b8e,13025617,AGUSTINA BATISTA MARTE - RANCHO TAVERA ABAJO,06-LA VEGA,0604-LA VEGA OESTE,LA VEGA,LA VEGA,LA VEGA,TAVERAS ABAJO,LOS RANCHOS DE TAVERAS,RANCHOS  AGUSTINA BATISTA MARTE - RANCHO TAVERA ABAJO,19.285861318826541,-70.711972117424011,1,15,25,,,
edd9dee7-aa4f-42f4-9a90-2f8bce89256b,14016416,AGUSTINA GARCIA DE JESUS - PASTRANA,14-NAGUA,1403-RIO SAN JUAN,MARIA TRINIDAD SANCHEZ,R�O SAN JUAN,R�O SAN JUAN,LOS CACAOS,LOS CAJUILES,PASTRANA AGUSTINA GARCIA DE JESUS - PASTRANA,19.578623413482507,-70.064663887023926,2,51,236,,,
91d4039d-ef5c-4595-8aa2-cf99e4d00df8,25068413,AGUSTINA MERCEDES DIAZ RAMOS -DON PEDRO,08-SANTIAGO,0806-SANTIAGO NORESTE,SANTIAGO,TAMBORIL,TAMBORIL,PONTEZUELA,DON PEDRO ABAJO,DON PEDR AGUSTINA MERCEDES DIAZ RAMOS -DON PEDRO,19.46590943232551,-70.618239641189575,1,328,263,,,
59a01681-723a-40d3-90d2-f7954196df5d,25003727,AGUSTINA PICHARDO CUEVAS PROF. -  RAFEY,08-SANTIAGO,0804-SANTIAGO NOROESTE,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO DE LOS CABALLEROS (ZONA URBANA),ALTOS DE RAFEY,C/ 1RA.  AGUSTINA PICHARDO CUEVAS PROF. -  RAFEY,19.480801403540404,-70.7353475689888,2,588,506,233,,
f5b1e55a-69ad-441d-b2a1-5563a7d7e3bd,20003818,AGUSTIN BIENVENIDO VERAS FRANCO PROF - EL RINCON,14-NAGUA,1404-SAMANA,SAMANA,SAMAN�,LAS GALERAS (D. M.),RINC�N,RINC�N,RINCON   AGUSTIN BIENVENIDO VERAS FRANCO PROF - EL RINCON,19.277845791798743,-69.263614118099213,1,75,56,,,
0a7fadb4-b44d-438a-b4d3-ad020f618520,6035712,AGUSTIN BONILLA,07-SAN FRANCISCO DE MACORIS,0703-CASTILLO,DUARTE,PIMENTEL,PIMENTEL,PIMENTEL (ZONA URBANA),CENTRO DEL PUEBLO,AGUSTIN  AGUSTIN BONILLA,19.190933452297294,-70.109582841396332,4,302,463,123,221,113
b5c7af62-4db3-4f2d-9644-378c6b0077ad,2051813,AGUSTIN DELGADO SOTO - LOS VALLECITOS B,03-AZUA,0302-PADRE DE LAS CASAS,AZUA,PADRE LAS CASAS,LA SIEMBRA (D.M.),LA SIEMBRA,LOS CAMBRONES,VALLECIT AGUSTIN DELGADO SOTO - LOS VALLECITOS B,18.885289876216511,-70.917681455612183,1,36,6,,,
112be74c-36bd-44c1-b4bb-c95c901726c6,6035910,AGUSTIN FERNANDEZ PEREZ,07-SAN FRANCISCO DE MACORIS,0703-CASTILLO,DUARTE,PIMENTEL,PIMENTEL,PIMENTEL (ZONA URBANA),CENTRO DEL PUEBLO,FELIPE D AGUSTIN FERNANDEZ PEREZ,19.178282393395101,-70.107083022594452,1,392,489,,,
fc1e4f6b-493e-410c-94ea-591cce80bb14,29031311,AGUSTIN SICAL - ARROYO RANCHO,17-MONTE PLATA,1705-ESPERALVILLO,MONTE PLATA,YAMAS�,YAMAS�,LA JINA,ARROYO RANCHO,ARROYO R AGUSTIN SICAL - ARROYO RANCHO,18.7847315612802,-70.191210508346558,1,,4,,,
d025118e-135c-4210-8f05-87f0551599f0,1239519,AIDA CARTAGENA PORTALATIN,15-SANTO DOMINGO,1502-SANTO DOMINGO CENTRO,DISTRITO NACIONAL,SANTO DOMINGO DE GUZM�N,SANTO DOMINGO DE GUZM�N,SANTO DOMINGO DE GUZM�N (ZONA URBANA),LA ZURZA,AVE. MAX AIDA CARTAGENA PORTALATIN,18.506630827746864,-69.915275573730469,3,759,764,1068,,
40dd3317-1486-4dc3-98ea-e07f8b761199,1261613,ALBALINA ACOSTA DE VASQUEZ PROF. SANTA LUCIA (INVI,10-SANTO DOMINGO,1005-BOCA CHICA,SANTO DOMINGO,BOCA CHICA,LA CALETA (D. M.),LA CALETA (ZONA URBANA),LA CALETA,CALLE 8V ALBANIA ACOSTA DE VASQUEZ PROF.  SANTA LUCIA (INVI,18.45062135329605,-69.65181291103363,1,393,415,,,
fabf684b-6f1c-4e28-b557-656a2602952b,1203914,ALBERGUE DIVINA PROVIDENCIA,10-SANTO DOMINGO,1002-SABANA PERDIDA,SANTO DOMINGO,SANTO DOMINGO NORTE,LA VICTORIA (D. M.),LA VICTORIA (ZONA URBANA),LA VICTORIA,BELLA VI ALBERGUE DIVINA PROVIDENCIA,18.590604317401784,-69.841302931308746,1,,,,271,
7566273c-5232-4dfa-b314-b721b479db49,32027313,ALBERGUE DIVINO NINO JESUS,10-SANTO DOMINGO,1002-SABANA PERDIDA,SANTO DOMINGO,SANTO DOMINGO NORTE,SANTO DOMINGO NORTE,SANTO DOMINGO NORTE (ZONA URBANA),SABANA PERDIDA,C/ LOS P ALBERGUE DIVINO NI�O JESUS,18.522134000000001,-69.867223999999993,1,,,,180,
7f0a3fac-55dc-4829-9f45-40e3ebcd73a5,9004515,ALBERGUE EDUCATIVO INFANTIL,06-LA VEGA,0606-MOCA,ESPAILLAT,MOCA,MOCA,MOCA (ZONA URBANA),DON BOSCO,JUAN ANT ALBERGUE EDUCATIVO INFANTIL,19.389240559878854,-70.520955920219421,1,297,,,,
ce4f3ea2-eb65-4719-8bfc-9f3e0f1dd1e2,18016814,ALBERTINO CABRERA ARIAS - QUITA SUE�O,11-PUERTO PLATA,1105-ALTAMIRA,PUERTO PLATA,ALTAMIRA,ALTAMIRA,HIG�ERO,QUITA SUE�O,QUITA SU ALBERTINO CABRERA ARIAS - QUITA SUE�O,19.702455635785601,-70.880640149116516,1,27,23,,,
f9072236-4c14-470d-83a9-948a5e22ce6a,8005814,ALBERTO BERROA,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,EL SEIBO,EL CUEY,CA�ADA DE LA VACA,CA?ADA D ALBERTO BERROA,18.749382761743039,-68.953483700752258,1,,,,98,
1f4ff961-4a69-491b-a544-15cc79645f1b,4024546,ALBERTO FELIZ BELLO,01-BARAHONA,0104-CABRAL,BARAHONA,POLO,POLO,POLO (ZONA URBANA),CENTRO DEL PUEBLO,,18.092425569759733,-71.278457343578339,1,241,252,,,
1b5c2f92-1afb-4be7-957a-f16693435ef3,13036118,ALBERTO HERNANDEZ ROSARIO - BUENA VISTA,06-LA VEGA,0603-JARABACOA,LA VEGA,JARABACOA,BUENA VISTA (D. M.),BUENA VISTA (ZONA URBANA),BUENA VISTA,BUENA VI BUENA VISTA,19.155262776935551,-70.601347088813782,1,,2,,392,
2a367300-6372-4bd3-8c37-71af5685be80,1101013,ALDEAS INFANTILES S.O.S.,10-SANTO DOMINGO,1003-SANTO DOMINGO NORESTE,SANTO DOMINGO,SANTO DOMINGO ESTE,SANTO DOMINGO ESTE,SANTO DOMINGO ESTE (ZONA URBANA),LOS MINA NORTE,AVE. OZA ALDEAS INFANTILES S.O.S.,18.516702806191599,-69.872293174266815,1,276,321,,,
4301f05f-bb2c-4db5-8881-9e02fb7ab913,6024617,ALEJANDRINA GLASS  VENTURA - AZLOR,07-SAN FRANCISCO DE MACORIS,0705-SAN FRANCISCO DE MACORIS SUR-E,DUARTE,SAN FRANCISCO DE MACOR�S,LA PE�A (D. M.),LA PE�A,AZLOR,AZLOR    ALEJANDRINA GLASS  VENTURA - AZLOR,19.300526742646543,-70.204069018363953,1,39,19,,,
b15598a8-ad26-46ae-8c5b-b1a35be8910c,6018017,ALEJANDRINA TOBAL ESTRELLA,07-SAN FRANCISCO DE MACORIS,0706-SAN FRANCISCO DE MACORIS NOR-O,DUARTE,SAN FRANCISCO DE MACOR�S,JAYA (D. M.),LA PI�A,MATA VIEJA,MATA VIE MATA VIEJA,19.343477500044656,-70.243521630764008,1,10,9,,,
877f5c82-1861-487c-b913-9b0c83f7371a,21046016,ALEJANDRO ANGULO GURIDI,04-SAN CRISTOBAL,0403-SAN CRISTOBAL SUR,SAN CRISTOBAL,SAN CRIST�BAL,SAN CRIST�BAL,SAN CRIST�BAL (ZONA URBANA),SAN ISIDRO,AVE. LUP ALEJANDRO ANGULO GURIDI,18.411709999999999,-70.11712,1,112,207,,,
5642133e-b14d-4c7d-9fb2-6ee52dea8292,23021616,ALEJANDRO BASS,05-SAN PEDRO DE MACORIS,0506-CONSUELO,SAN PEDRO DE MACORIS,CONSUELO,CONSUELO,ALEJANDRO BASS,BATEY ALEJANDRO BASS,BATEY AL ALEJANDRO BASS,18.584320000000002,-69.263277000000002,1,65,51,,,
38f5acbc-2043-4115-a87e-258373ecd6b2,2054810,ALEJANDRO CABRAL,03-AZUA,0302-PADRE DE LAS CASAS,AZUA,GUAYABAL,GUAYABAL,GUAYABAL (ZONA URBANA),GUAYABAL,GUAYABAL ALEJANDRO CABRAL,18.749933913461632,-70.837738215923309,1,236,313,,,
9b05b43d-5e5c-485f-86f5-57287f2162f4,22026415,ALEJANDRO CORDERO - LOMA VERDE,02-SAN JUAN DE LA MAGUANA,0206-SAN JUAN OESTE,SAN JUAN,JUAN DE HERRERA,JUAN DE HERRERA,LOS MONTONES,LOMA VERDE,LOMA VER LOMA VERDE,18.864138335559332,-71.217579245567322,1,33,8,,,
82d5c9e5-c097-4e93-93dc-438cd3e480f4,21030715,ALEJANDRO GARCIA,04-SAN CRISTOBAL,0404-VILLA  ALTAGRACIA,SAN CRISTOBAL,VILLA ALTAGRACIA,VILLA ALTAGRACIA,MAN� DE HAINA,REPARADERO,REPARADE ALEJANDRO GARCIA,18.641284215179294,-70.183815658092499,1,57,44,,,
e6016717-5b63-4571-a9ac-7e7548be7865,8008319,ALEMAN,05-SAN PEDRO DE MACORIS,0504-HATO MAYOR,EL SEIBO,EL SEIBO,EL SEIBO,MATA DE PALMA,ALEM�N,ALEMAN   ALEMAN,18.674185773314321,-69.16467010974884,1,81,70,,,
5fa30f76-d22e-4962-9898-409a70b5ecf8,8019811,ALEMAN,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,SAN PEDRO DE MACOR�S,SAN PEDRO DE MACOR�S,BOCA DEL SOCO,BATEY ALEM�N,BATEY AL ALEMAN,18.480524859180569,-69.258287250995636,1,144,148,,,
e4b85b24-3a16-4b9c-b748-a93d554aa642,14005217,ALEMANIA,14-NAGUA,1401-NAGUA,MARIA TRINIDAD SANCHEZ,NAGUA,LAS GORDAS (D. M.),LOS JENGIBRES,ALEMANIA,ALEMANIA ALEMANIA,19.38941513582802,-70.075443685054779,1,8,,,,
a2418d6d-fa0a-4d8a-bdc4-add45628dc3e,7010213,ALFONSO AGUSTIN BORDAS -  ARROYO GRANDE,02-SAN JUAN DE LA MAGUANA,0202-PEDRO SANTANA,ELIAS PI�A,PEDRO SANTANA,PEDRO SANTANA,NICOL�S (JOCA),NICOL�S O JOCA,NICOLAS  ALFONSO AGUSTIN BORDAS -  ARROYO GRANDE,19.085241728241485,-71.575436890125275,1,26,32,,,
3cc5f9e0-d7c6-4bce-b729-daeb77717daf,25056917,ALFONSO CHECO ESPINAL (INOA),08-SANTIAGO,0801-SAN JOSE DE LAS MATAS,SANTIAGO,SAN JOS� DE LAS MATAS,SAN JOS� DE LAS MATAS,INOA,INOA,INOA ARR ALFONSO CHECO ESPINAL (INOA),19.343965943325198,-70.986839532852201,1,165,,,,
